RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0342,0,3,3,3,3,90,3,2,0
SRL0343,1,3,0,0,0,40,0,0,0
SRL0344,0,3,1,1,2,54,3,1,3
SRL0345,0,4,2,1,1,54,1,1,6
SRL0346,0,3,0,0,0,45,0,2,2
SRL0347,1,3,3,2,3,65,2,1,0
SRL0348,0,1,3,3,1,30,3,2,0
SRL0349,0,3,3,0,0,72,0,0,2
SRL0350,0,3,2,0,0,42,3,1,1
SRL0351,0,3,2,2,2,18,3,2,0
SRL0352,0,4,1,1,1,80,0,0,0
SRL0353,0,3,2,0,0,45,3,0,0
SRL0354,0,3,3,2, ,55,3,0,1
SRL0355,0,1,2,0,0,30,0,0,0
SRL0356,0,3,1,2,1,30,3,0,6
SRL0357,1,2,0,0,2,41,2,1,0
SRL0358,1,3,1,0,2,40,2,1,0
SRL0359,1,4,3,3,2,57,3,1,0
SRL0360,0,4,3,1,1,40,2,1,0
SRL0361,0,1,2,2,1,39,1,1,0
SRL0362,0,3,2,2,2,75,3,1,1
SRL0363,1,2,3,2,0,21,1,1,4
SRL0364,1,3,3,2,1,30,3,2,0
SRL0365,0,3,1,1,1,70,0,0,0
SRL0366,1,4,3,1,1,45,3,1,0
SRL0367,0,3,3,1,0,47,3,2,0
SRL0368,0,3,1, , ,25,0,0,2
SRL0369,0,3,3,1,0,40,0,0,6
SRL0370,1,3,1,1,2,36,1,0,4
SRL0371,1,3,3,0,1,85,3,1,0
SRL0372,1,3,1,2,0,50,2,1,1
SRL0373,0,3,3,3,2,70,2,1,0
SRL0374,1,4,3,1,1,45,0,0,0
SRL0375,1,3,0,0,0,40,3,2,2
SRL0376,0,3,2,0,0,72,0,0,1
SRL0377,0,3, ,0,2,45,0,0,0
SRL0378,1,2,3,2,0,36,0,0,5
SRL0379,0,3,0,0,0,75,3,2,0
SRL0380,1,4,3,2,2,50,3,2,0
SRL0381,1,4,0,0,0,37,1,1,0
SRL0382,1,3,0,0,3,50,3,2,0
SRL0383,1,3,1,0,0,38,3,2,0
SRL0384,0,2,2,2,0,67,3,1,1
SRL0385,0,2,2,2,2,54,1,0,0
SRL0386,1,3,3,3,2,68,3,2,4
SRL0387,1,1,3,3,1,23,3,1,4
SRL0388,1,1,3,2,0,38,0,0,2
SRL0389,1,3,2,2,2,55,0,0,0
SRL0390,0,3,3,3,1,79,0,0,0
SRL0391,0,3,3,0,3,46,3,2,5
SRL0392,0,3,3, ,0,45,3,2,0
SRL0393,0,3,3,3,3,44, , ,0
SRL0394,0,3,3,2,3,55,0,0,0
SRL0395,1,3,3,1,0,55, , ,0
SRL0396,1,3,0,0,0,82,0,0,0
SRL0397,0,4,3,2,2,45,0,0,2
SRL0398,0,4,3,1,2,72,0, ,0
SRL0399,0,3,0,0,0,50,3,0,4
SRL0400,0,1,3,0,0,52,0,0,0
SRL0401,0,2,3,1,2,70,3,2,1
SRL0402,1,3,2,1,2,52,2,1,0
SRL0403,1,3,1,2,0,35,3,2,5
SRL0404,0,2,3,2,1,28,1,0,0
SRL0405,0,2,3,2,1,38,0,0,2
SRL0406,1,3,3,1,1,62,3,1,2
SRL0407,0,2,3,0,1,55,0,0,0
SRL0408,0,3,3,1,1,45,3,2,4
SRL0409,0,3,3,0,0,43,3,2,0
SRL0410,0,3,0,0,0,33,2,1,2
SRL0411,0,3,1,0,1,46,3,1,4
SRL0412,1,3,3,2,0,26,3,2,4
SRL0413,0,4,3,2,2,32,0,0,0
SRL0414,0,4,3,3,2,54,0,0,4
SRL0415,0,2,3,0,0,26,0,0,0
SRL0416,1,3,2,1,0,31,2,1,0
SRL0417,1,3,1,0,0,36,2,1,3
SRL0418,1,3,2,1,2,27,2,1,3
SRL0419,1,3,3,2,3,26,3,2,0
SRL0420,1,3,3,2,0,42,3,1,0
SRL0421,1,3,3,3,3,72,0,0,1
SRL0422,0,4,3,2,2,55,1,1,0
SRL0423,0,0,0,0,2,32,1, ,0
SRL0424,0,3,3,0,3,45,0,1,0
SRL0425,0,1,3,3,0,21,3,1,4
SRL0426, ,4, , , ,25,2,2,5
SRL0427,0,1,3,2,0,31,1,1,4
SRL0428,1,1,3,1,1,27,0,0,7
SRL0429,1,2,2,1,3,57,3,2,8
SRL0430,1,4,3,2,2,55,0, ,0
SRL0431,0,3,3,1,1,40,3,2,5
SRL0432,1,3,3,1,1,40,3,2,7
SRL0433,0,3,2,0,0,36,2,1,4
SRL0434,0,1,1,2,1,20,2,1,4
SRL0435,0,1, ,0,1,22, ,0,0
SRL0436,0,2,1,2,0,33,3,1,0
SRL0437,0,4,3,1,1,58,0,0,1
SRL0438,0,4,2,2,2,46,1,1,6
SRL0439,0,3,1,1,0,55,1,1,1
SRL0440,0,3,1,1,0,40,0,0,1
SRL0441,0,1,0,1,1,34,2,1,2
SRL0442,0,1,0,1,2,21,2,1,0
SRL0443,1,3,3,1,0,25,3,1,0
SRL0444,1,3,3,2,0,41,3,1,6
SRL0445,0,4,3,2,2,63,1,1,4
SRL0446,0,4,3,2,2,53,1,1,5
SRL0447,1,3,3,1,0,59,3,2,1
SRL0448,0,3,3,0,0,38,3,2,0
SRL0449,1,1,2,1,1,19,0,1,4
SRL0450,0,3,2,1,1,31,2,1,0
SRL0451,0,3,2,1,1,23,3,1,5
SRL0452,1,3,3,2,2,20,3,1,0
SRL0453,0,4,3,2,2,46,2,1,4
SRL0454,0,4,3,3,2,39,1,1,1
SRL0455,0,3,3,1,0,62,3,2,0
SRL0456,0,3,3,1,1,30,3,2,0
SRL0457,1,1,3,2,2,24,1,1,0
SRL0458,0,3,0,0,1,48,1,1,0
SRL0459,1,1,1,1,1,48,3,2,0
SRL0460,1,1,3,2,0,21,2,0,4
SRL0461,0,4,3,2,1,49,0,0,1
SRL0462,1,4,3,3,2,39,3,2,6
SRL0463,0,3,3,1,0,52,0,0,3
SRL0464,0,4,3,1,0,45,3,2,0
SRL0465,1,3,3,0,1,22,2,2,4
SRL0466,1,3,3,2,0,31,2,2,1
SRL0467,1,1,3,2,1,50,3,1,0
SRL0468,0,3,3,1,1,50,3,2,1
SRL0469,1,4,3,1,1,35,1,0,0
SRL0470,1,4,3,2,2,40,0,0,0
SRL0471,0,3,3,0,3,54,3,0,5
SRL0472,0,3,3,1,0,46,1,0,0
