RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL1161,52,1,0,1,0,0,0,0,4
SRL1162,53,2,2,2,1,2,1,0,5
SRL1163,54,2,1,2,0,1,1,0,6
SRL1164,36,2,1,4,0,1,1,0,5
SRL1165,19,2,0,1,0,3,3,1,5
SRL1166,20,3,2,3,1,3,3,3,4
SRL1167,69,0,1,1,0,2,0,0,3
SRL1168,47,3,2,1,0,3,2,1,8
SRL1169,38,3,2,1,0,3,2,3,8
SRL1170,40,2,1,1,1,3,2,2,0
SRL1171,22,0,0,1,1,1,1,1,4
SRL1172,55,1,1,1,1,3,3,1,0
SRL1173,62,3,2,3,1,0,0,1,6
SRL1174,36,2,1,4,0,3,2,3,6
SRL1175,27,0,0,1,1,0,0,0,5
SRL1176,61,2,2,2,1,3,0,1,4
SRL1177,42,1,0,1,0,9,9,0,4
SRL1178,49,3,0,3,0,3,1,1,1
SRL1179,27,1,0,0,1,3,1,0,0
SRL1181,41,3,1,3,0,3,1,0,5
SRL1182,48,2,2,3,0,3,3,3,0
SRL1183,28,2,1,4,0,3,2,1,5
SRL1184,35,3,2,3,1,3,2,2,9
SRL1185,36,3,0,0,0,2,0,1,4
SRL1186,27,1,0,0,0,2,0,0,4
SRL1187,40,3,0,3,0,3,3,3,6
SRL1188,29,3,0,3,0,3,1,3,0
SRL1189,48,0,0,4,0,3,3,3,5
SRL1190,32,3,1,1,1,3,3,1,4
SRL1191,28,1,1,1,1,3,2,2,9
SRL1192,38,2,1,1,0,3,2,2,7
SRL1193,30,3,1,3,0,2,2,2,8
SRL1194,28,2,1,1,1,1,0,0,5
SRL1195,23,3,2,1,0,1,0,0,7
SRL1196,26,0,0,1,0,1,1,1,6
SRL1197,48,2,1,3,1,3,1,1,6
SRL1198,52,2,1,1,1,3,0,1,0
SRL1199,47,0,0,2,0,1,1,0,5
SRL1200,34,0,1,1,1,3,1,1,8
