RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL0263,30,9,9,1,1,9,9,9,0
SRL0264,19,9,9,1,0,9,9,9,4
SRL0265,31,2,1,1,0,2,2,2,6
SRL0266,50,3,1,3,0,2,1,1,0
SRL0267,39,1,1,1,1,1,0,1,4
SRL0268,31,0,1,4,1,0,0,0,0
SRL0269,28,0,0,3,1,3,1,0,0
SRL0270,40,3,2,4,0,3,3,1,4
SRL0271,45,9,9,3,1,2,0,9,0
SRL0272,48,3,2,4,1,1,1,1,6
SRL0273,25,0,0,1,1,3,3,0,0
SRL0274,54,3,2,4,1,3,3,3,6
SRL0275,21,0,1,3,0,1,0,1,4
SRL0276,25,2,1,3,0,0,0,0,5
SRL0277,41,3,1,4,0,0,0,9,1
SRL0278,47,2,1,2,0,3,3,3,6
SRL0279,25,0,0,1,1,9,9,9,3
SRL0280,27,9,9,3,1,2,1,2,6
SRL0281,58,3,1,4,1,9,9,2,2
SRL0282,28,0,0,3,0,9,9,9,0
SRL0283,21,0,1,1,1,2,0,9,4
SRL0284,19,0,0,3,1,2,9,9,0
SRL0285,27,1,1,3,0,3,3,3,4
SRL0286,45,1,1,3,0,3,0,0,1
SRL0287,64,2,1,3,0,1,0,9,0
SRL0288,49,9,9,4,1,2,1,9,3
SRL0289,36,2,1,1,0,3,3,3,6
SRL0290,22,0,0,1,0,9,9,9,0
SRL0291,23,2,9,3,1,2,2,1,4
SRL0293,42,3,2,4,1,1,1,1,2
SRL0294,46,2,1,4,0,0,0,9,0
SRL0295,38,3,0,3,1,2,2,2,4
SRL0296,46,1,1,3,0,2,1,1,2
SRL0297,48,1,1,4,0,2,0,0,4
SRL0298,34,1,1,1,1,3,0,0,1
SRL0299,43,2,1,3,1,3,2,2,0
SRL0300,42,1,1,2,0,1,0,0,0
SRL0302,67,0,0,4,0,9,9,9,0
SRL0303,37,2,1,4,1,2,2,2,3
SRL0305,42,1,0,1,0,2,2,1,0
SRL0306,29,3,1,3,0,3,2,2,0
SRL0307,64,3,0,3,0,1,3,0,0
SRL0308,32,3,0,3,0,1,1,0,6
SRL0309,62,3,1,4,1,3,3,3,0
SRL0310,44,0,0,3,1,0,0,0,2
SRL0311,39,3,2,3,0,1,0,0,4
SRL0312,60,0,0,3,0,3,1,0,4
SRL0313,31,2,0,1,0,2,0,0,0
SRL0314,35,3,0,1,0,0,0,0,0
SRL0315,36,2,2,3,1,3,2,0,0
SRL0316,41,2,1,3,0,2,1,1,0
SRL0317,47,0,0,3,0,3,1,1,0
SRL0318,45,0,0,4,1,3,1,3,0
SRL0319,38,0,0,3,0,3,9,9,0
SRL0320,30,3,2,3,1,3,1,3,4
SRL0321,50,0,2,3,0,3,3,3,1
SRL0322,35,3,2,1,1,3,0,1,0
SRL0323,81,3,1,3,0,2,2,2,0
SRL0324,47,3,1,1,1,2,1,0,0
SRL0325,50,3,1,3,1,3,0,2,0
SRL0326,55,0,0,1,1,3,2,1,0
SRL0327,68,0,0,4,0,1,1,1,0
SRL0328,36,3,1,4,1,1,1,1,0
SRL0329,81,1,1,2,0,1,1,1,0
SRL0330,48,3,1,3,1,0,0,0,0
SRL0331,64,3,0,3,0,0,0,0,0
SRL0332,34,2,1,3,1,2,2,1,0
SRL0333,40,3,1,3,0,3,1,0,0
SRL0334,42,3,2,1,0,0,0,0,1
SRL0335,60,3,0,3,0,3,0,3,1
SRL0336,24,0,2,3,0,1,0,0,2
SRL0337,24,2,1,3,0,2,2,2,2
SRL0338,41,2,1,3,1,2,1,2,0
SRL0339,68,0,0,3,0,1,1,1,0
SRL0340,55,1,1,4,0,3,3,2,0
SRL0341,29,3,1,1,1,3,3,9,4
SRL0342,90,3,2,3,0,3,3,3,0
SRL0343,40,0,0,3,1,0,0,0,0
SRL0344,54,3,1,3,0,1,1,2,3
SRL0345,54,1,1,4,0,2,1,1,6
SRL0346,45,0,2,3,0,0,0,0,2
SRL0347,65,2,1,3,1,3,2,3,0
SRL0348,30,3,2,1,0,3,3,1,0
SRL0349,72,0,0,3,0,3,0,0,2
SRL0350,42,3,1,3,0,2,0,0,1
SRL0351,18,3,2,3,0,2,2,2,0
SRL0352,80,0,0,4,0,1,1,1,0
SRL0353,45,3,0,3,0,2,0,0,0
SRL0354,55,3,0,3,0,3,2,9,1
SRL0355,30,0,0,1,0,2,0,0,0
SRL0356,30,3,0,3,0,1,2,1,6
SRL0357,41,2,1,2,1,0,0,2,0
SRL0358,40,2,1,3,1,1,0,2,0
SRL0359,57,3,1,4,1,3,3,2,0
SRL0360,40,2,1,4,0,3,1,1,0
SRL0361,39,1,1,1,0,2,2,1,0
SRL0362,75,3,1,3,0,2,2,2,1
SRL0363,21,1,1,2,1,3,2,0,4
SRL0364,30,3,2,3,1,3,2,1,0
SRL0365,70,0,0,3,0,1,1,1,0
SRL0366,45,3,1,4,1,3,1,1,0
SRL0367,47,3,2,3,0,3,1,0,0
SRL0368,25,0,0,3,0,1,9,9,2
SRL0369,40,0,0,3,0,3,1,0,6
SRL0370,36,1,0,3,1,1,1,2,4
SRL0371,85,3,1,3,1,3,0,1,0
SRL0372,50,2,1,3,1,1,2,0,1
SRL0373,70,2,1,3,0,3,3,2,0
SRL0374,45,0,0,4,1,3,1,1,0
SRL0375,40,3,2,3,1,0,0,0,2
SRL0376,72,0,0,3,0,2,0,0,1
SRL0377,45,0,0,3,0,9,0,2,0
SRL0378,36,0,0,2,1,3,2,0,5
SRL0379,75,3,2,3,0,0,0,0,0
SRL0380,50,3,2,4,1,3,2,2,0
SRL0381,37,1,1,4,1,0,0,0,0
SRL0382,50,3,2,3,1,0,0,3,0
SRL0383,38,3,2,3,1,1,0,0,0
SRL0384,67,3,1,2,0,2,2,0,1
SRL0385,54,1,0,2,0,2,2,2,0
SRL0386,68,3,2,3,1,3,3,2,4
SRL0387,23,3,1,1,1,3,3,1,4
SRL0388,38,0,0,1,1,3,2,0,2
SRL0389,55,0,0,3,1,2,2,2,0
SRL0390,79,0,0,3,0,3,3,1,0
SRL0391,46,3,2,3,0,3,0,3,5
SRL0392,45,3,2,3,0,3,9,0,0
SRL0393,44,9,9,3,0,3,3,3,0
SRL0394,55,0,0,3,0,3,2,3,0
SRL0395,55,9,9,3,1,3,1,0,0
SRL0396,82,0,0,3,1,0,0,0,0
SRL0397,45,0,0,4,0,3,2,2,2
SRL0398,72,0,9,4,0,3,1,2,0
SRL0399,50,3,0,3,0,0,0,0,4
SRL0400,52,0,0,1,0,3,0,0,0
SRL0401,70,3,2,2,0,3,1,2,1
SRL0402,52,2,1,3,1,2,1,2,0
SRL0403,35,3,2,3,1,1,2,0,5
SRL0404,28,1,0,2,0,3,2,1,0
SRL0405,38,0,0,2,0,3,2,1,2
SRL0406,62,3,1,3,1,3,1,1,2
SRL0407,55,0,0,2,0,3,0,1,0
SRL0408,45,3,2,3,0,3,1,1,4
SRL0409,43,3,2,3,0,3,0,0,0
SRL0410,33,2,1,3,0,0,0,0,2
SRL0411,46,3,1,3,0,1,0,1,4
SRL0412,26,3,2,3,1,3,2,0,4
SRL0413,32,0,0,4,0,3,2,2,0
SRL0414,54,0,0,4,0,3,3,2,4
SRL0415,26,0,0,2,0,3,0,0,0
SRL0416,31,2,1,3,1,2,1,0,0
SRL0417,36,2,1,3,1,1,0,0,3
SRL0418,27,2,1,3,1,2,1,2,3
SRL0419,26,3,2,3,1,3,2,3,0
SRL0420,42,3,1,3,1,3,2,0,0
SRL0421,72,0,0,3,1,3,3,3,1
SRL0422,55,1,1,4,0,3,2,2,0
SRL0423,32,1,9,0,0,0,0,2,0
SRL0424,45,0,1,3,0,3,0,3,0
SRL0425,21,3,1,1,0,3,3,0,4
SRL0426,25,2,2,4,9,9,9,9,5
SRL0427,31,1,1,1,0,3,2,0,4
SRL0428,27,0,0,1,1,3,1,1,7
SRL0429,57,3,2,2,1,2,1,3,8
SRL0430,55,0,9,4,1,3,2,2,0
SRL0431,40,3,2,3,0,3,1,1,5
SRL0432,40,3,2,3,1,3,1,1,7
SRL0433,36,2,1,3,0,2,0,0,4
SRL0434,20,2,1,1,0,1,2,1,4
SRL0435,22,9,0,1,0,9,0,1,0
SRL0436,33,3,1,2,0,1,2,0,0
SRL0437,58,0,0,4,0,3,1,1,1
SRL0438,46,1,1,4,0,2,2,2,6
SRL0439,55,1,1,3,0,1,1,0,1
SRL0440,40,0,0,3,0,1,1,0,1
SRL0441,34,2,1,1,0,0,1,1,2
SRL0442,21,2,1,1,0,0,1,2,0
SRL0443,25,3,1,3,1,3,1,0,0
SRL0444,41,3,1,3,1,3,2,0,6
SRL0445,63,1,1,4,0,3,2,2,4
SRL0446,53,1,1,4,0,3,2,2,5
SRL0447,59,3,2,3,1,3,1,0,1
SRL0448,38,3,2,3,0,3,0,0,0
SRL0449,19,0,1,1,1,2,1,1,4
SRL0450,31,2,1,3,0,2,1,1,0
SRL0451,23,3,1,3,0,2,1,1,5
SRL0452,20,3,1,3,1,3,2,2,0
SRL0453,46,2,1,4,0,3,2,2,4
SRL0454,39,1,1,4,0,3,3,2,1
SRL0455,62,3,2,3,0,3,1,0,0
SRL0456,30,3,2,3,0,3,1,1,0
SRL0457,24,1,1,1,1,3,2,2,0
SRL0458,48,1,1,3,0,0,0,1,0
SRL0459,48,3,2,1,1,1,1,1,0
SRL0460,21,2,0,1,1,3,2,0,4
SRL0461,49,0,0,4,0,3,2,1,1
SRL0462,39,3,2,4,1,3,3,2,6
SRL0463,52,0,0,3,0,3,1,0,3
SRL0464,45,3,2,4,0,3,1,0,0
SRL0465,22,2,2,3,1,3,0,1,4
SRL0466,31,2,2,3,1,3,2,0,1
SRL0467,50,3,1,1,1,3,2,1,0
SRL0468,50,3,2,3,0,3,1,1,1
SRL0469,35,1,0,4,1,3,1,1,0
SRL0470,40,0,0,4,1,3,2,2,0
SRL0471,54,3,0,3,0,3,0,3,5
SRL0472,46,1,0,3,0,3,1,0,0
SRL0473,21,1,0,1,0,0,0,0,0
SRL0474,38,2,1,3,1,2,2,1,4
SRL0475,32,0,0,1,1,3,2,0,0
SRL0476,19,3,0,2,1,3,2,0,4
SRL0477,52,0,0,4,0,3,3,3,0
SRL0478,52,0,1,3,0,3,2,1,3
SRL0479,42,3,2,3,0,3,1,1,1
SRL0480,33,2,0,2,0,3,0,0,1
SRL0481,29,2,1,1,1,3,2,1,0
SRL0482,31,0,0,1,0,0,0,1,0
SRL0483,63,2,2,1,1,2,1,0,5
SRL0484,18,3,2,3,0,3,2,1,4
SRL0485,64,1,1,4,0,3,1,3,2
SRL0486,74,1,1,4,0,3,2,2,4
SRL0487,44,0,0,3,0,3,0,0,0
SRL0488,50,0,0,3,0,3,1,0,0
SRL0489,45,3,0,4,0,3,3,2,0
SRL0490,25,3,1,2,0,2,2,0,4
SRL0491,22,2,1,3,0,3,2,0,4
SRL0492,37,3,1,3,0,3,1,1,0
SRL0493,23,3,2,3,0,1,1,1,4
SRL0494,25,3,2,4,0,3,2,2,0
SRL0495,45,1,1,4,1,3,2,2,4
SRL0496,24,0,0,4,1,3,2,2,7
SRL0497,31,2,1,1,1,3,2,2,3
SRL0498,21,0,0,1,1,3,3,2,0
SRL0499,26,3,1,3,1,2,1,0,0
SRL0500,40,3,2,3,1,3,2,1,6
SRL0501,50,2,1,4,0,3,2,2,0
SRL0502,70,0,0,4,0,2,2,2,0
SRL0503,30,3,0,3,1,3,3,0,0
SRL0504,40,3,2,3,1,1,1,1,4
SRL0505,27,2,1,2,1,3,2,1,0
SRL0506,29,2,1,3,1,3,2,2,3
SRL0507,45,3,0,1,1,3,2,0,0
SRL0508,22,3,2,3,1,3,2,2,6
SRL0509,55,1,1,4,0,3,2,2,3
SRL0510,71,0,0,4,0,3,2,2,0
SRL0511,29,3,0,3,0,3,1,0,0
SRL0512,63,3,0,3,1,1,0,1,0
SRL0513,21,2,1,2,0,1,0,0,0
SRL0514,23,0,1,1,1,0,0,1,0
SRL0515,40,3,1,3,1,3,2,0,0
SRL0516,22,1,0,1,0,3,2,1,6
SRL0517,49,1,1,4,0,3,2,2,7
SRL0518,53,0,0,4,1,3,2,2,3
SRL0519,53,0,0,3,0,3,0,0,0
SRL0520,49,3,0,3,1,3,1,1,0
SRL0521,80,0,0,3,1,3,1,3,4
SRL0522,49,3,0,3,1,3,1,1,2
SRL0523,29,0,1,3,0,2,1,1,0
SRL0524,19,0,1,1,0,0,0,0,0
SRL0525,19,0,0,1,0,2,1,0,0
SRL0526,33,2,1,2,1,3,2,0,6
SRL0527,45,0,0,4,0,2,2,2,0
SRL0528,65,0,0,4,0,2,2,2,0
SRL0529,23,2,1,1,1,3,2,2,3
SRL0530,32,2,1,2,0,2,1,1,3
SRL0531,42,0,0,3,0,1,1,0,0
SRL0532,36,0,0,3,1,3,1,0,0
SRL0533,35,3,1,3,0,3,2,0,0
SRL0534,38,2,1,3,0,0,0,1,4
SRL0535,75,0,0,4,0,3,2,2,0
SRL0536,33,0,0,4,0,3,2,2,1
SRL0537,45,3,2,3,1,3,1,0,0
SRL0538,39,3,0,3,0,0,0,0,2
SRL0539,31,3,2,3,1,3,2,0,0
SRL0540,40,3,0,3,1,3,1,1,3
SRL0541,43,0,0,4,0,3,2,2,1
SRL0542,55,0,0,4,0,2,2,2,2
